مــــ,الجامعة,اسم الجامعة,نوع البند,تصنيف البند,العام الدراسي,قيمة البند,العملة
77,الشمال,جامعة الشمال الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,غير معبأة,SYP
78,الشمال,جامعة الشمال الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,غير معبأة,SYP
79,الشمال,جامعة الشمال الخاصة,إيرادات,النقل,العام الدراسي 23 - 24,غير معبأة,SYP
80,الشمال,جامعة الشمال الخاصة,إيرادات,النقل,العام الدراسي 24 - 25,غير معبأة,SYP
81,الشمال,جامعة الشمال الخاصة,إيرادات,النقل,العام الدراسي 25 - 26,غير معبأة,SYP
82,الشمال,جامعة الشمال الخاصة,إيرادات,أخرى,العام الدراسي 23 - 24,غير معبأة,SYP
83,الشمال,جامعة الشمال الخاصة,إيرادات,أخرى,العام الدراسي 24 - 25,غير معبأة,SYP
84,الشمال,جامعة الشمال الخاصة,إيرادات,أخرى,العام الدراسي 25 - 26,غير معبأة,SYP
85,الشمال,جامعة الشمال الخاصة,إيرادات,الأقساط,العام الدراسي 23 - 24,غير معبأة,USD
86,الشمال,جامعة الشمال الخاصة,إيرادات,الأقساط,العام الدراسي 24 - 25,غير معبأة,USD
87,الشمال,جامعة الشمال الخاصة,إيرادات,الأقساط,العام الدراسي 25 - 26,غير معبأة,USD
88,الشمال,جامعة الشمال الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,غير معبأة,USD
89,الشمال,جامعة الشمال الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 24 - 25,غير معبأة,USD
90,الشمال,جامعة الشمال الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 25 - 26,غير معبأة,USD
91,الشمال,جامعة الشمال الخاصة,إيرادات,النقل,العام الدراسي 23 - 24,غير معبأة,USD
92,الشمال,جامعة الشمال الخاصة,إيرادات,النقل,العام الدراسي 24 - 25,غير معبأة,USD
93,الشمال,جامعة الشمال الخاصة,إيرادات,النقل,العام الدراسي 25 - 26,غير معبأة,USD
94,الشمال,جامعة الشمال الخاصة,إيرادات,أخرى,العام الدراسي 23 - 24,غير معبأة,USD
95,الشمال,جامعة الشمال الخاصة,إيرادات,أخرى,العام الدراسي 24 - 25,غير معبأة,USD
96,الشمال,جامعة الشمال الخاصة,إيرادات,أخرى,العام الدراسي 25 - 26,غير معبأة,USD
97,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,69٬149٬094٫40,SYP
98,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,201٬864٬084٫68,SYP
99,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,176٬721٬442٫54,SYP
100,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,151٬053٬467٫04,SYP
101,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,234٬047٬838٫74,SYP
102,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,211٬731٬456٫02,SYP
103,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,156٬236٬798٫66,SYP
104,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,254٬004٬246٫79,SYP
105,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,138٬948٬995٫78,SYP
106,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 23 - 24,19٬094٬776٫00,SYP
107,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 24 - 25,63٬746٬388٫00,SYP
108,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 25 - 26,3٬252٬627٫00,SYP
109,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,0٫00,USD
110,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,0٫00,USD
111,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,0٫00,USD
112,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,0٫00,USD
113,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,0٫00,USD
114,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,0٫00,USD
115,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,0٫00,USD
116,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,0٫00,USD
117,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,0٫00,USD
118,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 23 - 24,0٫00,USD
119,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 24 - 25,0٫00,USD
120,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,مصروفات,ضرائب,العام الدراسي 25 - 26,0٫00,USD
121,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 23 - 24,376٬851٬595٫65,SYP
122,الدولية,الجامعة الدولية الخاصة للعلوم والتكنولوجيا,إيرادات,الأقساط,العام الدراسي 24 - 25,653٬783٬138٫13,SYP
